"frame","x [nm]","y [nm]","intensity [photon]"
3.0,25471.817915100517,49382.92019091895,115351.05303295433
3.0,26508.360787277827,55196.87541579043,74614.80396085556
3.0,26862.785951545626,72813.93940056859,96285.4262461557
3.0,27272.634715173885,28771.654976780603,102330.53358364166
3.0,27624.563139103735,50525.93240148723,71719.98840037093
3.0,28109.331721624992,24726.34035844982,224202.06396350186
3.0,28087.900866480937,51766.50047426709,1183160.3806356485
3.0,28638.77938524877,35758.03207336606,58456.08710614174
3.0,28790.943801717578,75598.73712120228,84452.98749767875
3.0,29066.02656386375,24933.156388475647,468374.30911743926
3.0,29709.18449092507,37772.32136042728,64909.40253181679
3.0,30270.652190604385,53546.723388790335,77368.85651876619
3.0,30632.839691914076,31152.174679116182,78729.45530119725
3.0,31690.869632072307,49896.983937430065,59063.5124754725
3.0,31717.297037560435,17695.574540481673,63496.39075993305
3.0,35960.32283994098,36954.518605497746,67381.96426800748
3.0,36270.86412676368,5791.7548384261445,62041.25562112287
3.0,36874.395113266786,72436.08568314405,70891.10152453843
3.0,38183.60976865269,33566.02278215083,126794.59046303418
3.0,38371.49444243469,23013.78079020365,59113.60589084122
3.0,39564.672490645076,61643.00099746399,38298.54034064073
3.0,39972.24988479245,78668.49122216544,43455.41138418084
3.0,41522.57509352056,56544.208757075656,102642.21987757609
3.0,45199.05317408701,81370.1383269557,80839.27249830173
3.0,45959.25541164575,66503.82188895694,46058.855893735396
3.0,46542.127682021724,46886.29309206895,71074.74204477818
3.0,47011.73508372748,58248.40026028852,44925.79951723048
3.0,46919.80132598744,63101.39084941534,207403.9976480299
3.0,47362.12781679204,9669.987245870128,107029.05269919349
3.0,47367.36054895451,67494.18396892808,86370.6671054677
3.0,47220.34052291085,68979.82875459662,192929.82251608005
3.0,47467.29076709231,41062.50290180653,116388.97278829222
3.0,48055.61093712221,61595.540923836816,569858.0139735506
3.0,48932.63110935777,38448.836570768544,53225.90038029627
3.0,49742.35114095814,25181.97172637455,163660.28925854014
3.0,50030.66542213276,588.1891276058108,83092.50101861065
3.0,51913.74540259011,26540.198519276604,120494.59954736942
3.0,52771.89023581441,60692.58566648099,66255.56216681158
3.0,54667.91933007258,52695.190509498956,109147.19275847141
3.0,55691.380139726505,45818.230228274595,65255.44526976171
3.0,56071.39398476418,59119.17075533175,150105.4198217024
3.0,56658.26841522471,28635.68029301717,53210.77176183738
3.0,57064.17376661737,49649.47044594751,59093.47539696411
3.0,58280.8379507146,38434.33435201306,70982.08677107931
3.0,60021.275724673586,28619.91665114485,1.7336409294289827E7
3.0,65364.58679932347,24378.176074793613,101792.3617358323
3.0,65998.59324487738,79868.00526913337,79044.98022145443
3.0,67933.05653570496,54161.51600549594,158995.78635178902
3.0,70489.49421024925,41613.72525948985,77141.74177365188
3.0,72344.98418360423,55784.450974520994,181917.2215282725
3.0,73880.19113909395,15231.326686843511,80645.33270690637
3.0,75182.48438292556,54698.110204246266,161610.50717044805
3.0,76780.52313461373,1436.0846641658623,62541.905789912984
3.0,80203.56601976024,7310.3640267279625,106611.93508518954
4.0,1120.712910311757,46403.03694464194,55249.32706959525
4.0,1087.5987040741609,70880.39061320144,76306.3820177937
4.0,2373.511882940589,54379.79775345005,75048.14499484004
4.0,5036.17878825965,39384.91666680184,108048.91249633569
4.0,5088.587505166747,80212.29989058751,88632.0465732511
4.0,5442.02103468879,26274.73159718037,125386.48164407701
4.0,6653.563605501232,75609.38499104454,171267.71353729782
4.0,8308.457975469712,32764.573732993427,55231.5279561187
4.0,8639.822135563953,55327.463645570955,64357.31162167318
4.0,12296.657797141415,24769.896089765705,147781.25543122133
4.0,13621.583612494693,52572.24115097611,312740.28197574156
4.0,13836.738696997521,29965.652824330107,83568.2840690489
4.0,15221.371054610763,39303.728408356226,76127.24740287002
4.0,15568.581265881969,4904.568346930355,110061.50125888381
4.0,17805.159477314664,76491.51226615079,275195.55780719675
4.0,18724.59971137853,1221.1556155796347,38438.30162853487
4.0,18840.86629080277,2690.9522354450146,49878.44944644901
4.0,18872.15950806407,63793.61154486179,70616.64583752601
4.0,20164.13608704316,57591.38671124087,203243.9312919695
4.0,20318.271001220175,26368.675676439336,115428.04140950055
4.0,21340.208242955418,40962.750365946675,62539.616545270204
4.0,21743.678042471427,20220.54222889098,226619.4118711165
4.0,25114.024926304737,34957.79361682929,154133.37800620403
4.0,26638.237830079033,41083.30182105022,78073.01424785412
4.0,27161.42167546507,45878.42267779716,742136.069039704
4.0,27197.37304903274,64352.06196071622,67182.08533372499
4.0,27365.96600899435,28789.541235482237,77206.40028251833
4.0,27384.652278624704,16395.483560800993,69617.4504052682
4.0,28127.108218009376,24847.40320512069,260023.2041817311
4.0,29244.28659271246,24919.245669582982,507242.06147062796
4.0,29643.57089245751,44279.29510075102,156551.55365312623
4.0,30068.25446406376,68511.66156254563,126519.96020539841
4.0,30842.82189549495,33260.32481981157,108776.46778043541
4.0,31403.927680118322,36256.0497143434,174308.47455360647
4.0,31846.990953075157,79070.07267266365,112652.27034687881
4.0,32335.64210405279,67086.94171089289,92466.68576435746
4.0,33203.30623831719,52429.01745129837,78016.9797050644
4.0,34335.11494329377,18379.637100064934,83591.78570102043
4.0,34413.51293252131,55615.78317680679,195596.67905625497
4.0,35612.57011711828,68531.9300522068,131323.63595515228
4.0,36920.18659397993,29433.69947497172,59076.172877376084
4.0,37057.42533921546,28673.227623217284,54778.40974411636
4.0,37162.184699752535,72381.88999238618,119517.82743897753
4.0,37454.287747601295,20688.746633609284,28298.015802749916
4.0,37651.543478656364,31796.160636470766,83140.08193052538
4.0,39190.535865164544,60616.24468404883,88813.33077881366
4.0,39215.89674961168,23397.064660642354,162267.8425349989
4.0,39320.7133505849,62491.69383235008,175092.58945314403
4.0,40168.381738435375,20833.391047846962,9772585.888226924
4.0,40386.13278952096,16273.646297900672,97751.64277085074
4.0,41179.2385870397,43637.13475396585,54694.34947165111
4.0,41455.364745722814,72367.80461434898,40478.716747561695
4.0,45341.014094155544,68979.55695637173,54124.179668163204
4.0,46504.62150334101,16912.361790679708,94166.61954420342
4.0,47117.79342229289,78710.47532723355,73451.32770801778
4.0,47248.971860885686,16830.204320316847,267702.9480540655
4.0,47220.7854678277,17861.806607697603,550745.0461702015
4.0,47329.22972813973,44841.215542460326,295840.3137832033
4.0,49523.18015244935,61438.35715906128,1130239.4395918627
4.0,50323.09763681015,6631.153013927971,93280.86013761038
4.0,50836.853023144235,67679.0542631,37196.32884853113
4.0,52717.71527810544,65447.516146117916,1.6657911407971539E7
4.0,53567.168962637814,22996.62661182134,260621.92709706986
4.0,57714.50860671222,29677.831575948418,74979.4182944571
4.0,59152.98584799427,74495.21178706987,138134.10624055637
4.0,61267.02160312735,66039.44134806393,75714.47340026993
4.0,62318.69160374317,25780.278112879376,46127.73747617607
4.0,63713.084930901685,68166.72502388748,98566.56972628551
4.0,68192.12718632973,54145.31945045175,260761.7227081292
4.0,69095.18864560993,28303.05153221739,104021.16512703325
4.0,69210.526779979,889.1924621817403,71156.83698062517
4.0,70358.50521851184,3149.5040287561037,252531.47516306592
4.0,72205.85870964694,46029.76034030586,38881.986146340576
4.0,72597.19002661793,37704.091571429664,64368.22528535439
4.0,72587.03603014167,55757.9107806503,103492.22843070219
4.0,73474.59170461236,56232.93023102488,53758.7067288253
4.0,74024.31819723436,5273.20048027952,60145.56572064417
4.0,74539.41790619868,53215.17142682243,83871.27692613051
4.0,75461.60851624451,54773.19089897085,155231.4720398469
4.0,76052.95926808359,59722.39755992428,68709.37230087553
4.0,80932.15327299866,65288.750462383854,54096.020492276504
5.0,4940.181008823349,56717.89209180174,55736.37090757591
5.0,6507.671093549599,27957.16378164762,154915.05403121462
5.0,6778.0188368033705,807.5456554080406,167626.14085497815
5.0,7345.652118536655,42974.108375030446,69546.4717556696
5.0,9458.722751670097,34190.70072169204,45779.16458340928
5.0,12170.11655395498,24742.862500820884,111086.52048415868
5.0,12529.06248183523,60669.796558714035,73409.65128398145
5.0,13594.235736546083,52591.809762570316,430316.94436308334
5.0,14338.166101673183,45914.042738082615,39745.72365216369
5.0,16689.482666714834,38919.29322929162,244413.49203817948
5.0,17852.308862164406,76601.05836044694,136739.22921701035
5.0,18738.8252755347,63811.809843420044,68658.39875676711
5.0,20042.955558863803,67171.79672588022,72883.91485204575
5.0,21670.89326808558,20235.09950527637,165984.850284546
5.0,23258.89880333048,72412.6681121329,36063.15926671256
5.0,23830.36606225445,31579.147896691815,307920.38207220094
5.0,24797.358476011967,71822.67535196169,55339.939281187995
5.0,25124.918428984834,34963.99866411133,52670.24575913335
5.0,25634.29724121462,20059.360911987675,147516.07344550645
5.0,27043.802202946983,12173.017740389976,134208.06266993136
5.0,27349.874972920512,28808.063061364956,100720.13189319098
5.0,27445.832688687406,32268.492056812287,137153.2984314331
5.0,27899.17360347318,34762.26910002089,137419.42318308842
5.0,28563.81690893063,18360.668025193485,146700.928510597
5.0,28780.10047868818,72611.50155122112,90134.04874853807
5.0,29148.73600122791,24981.90565144947,699113.213365623
5.0,30249.984452321052,37882.26660253709,67553.88897902878
5.0,30988.819359603283,77675.16973407195,47692.39387236091
5.0,32005.232186591405,46468.37525786908,80632.57043404631
5.0,33977.20890125273,79854.5745557341,301584.38546669914
5.0,34909.93628761479,77346.47105782325,292328.8045430145
5.0,36087.76294616033,13709.03620259029,64899.59993538956
5.0,36925.8869913332,21893.95584162075,64253.52019553461
5.0,36931.340359743124,48776.86832630731,80520.5278796734
5.0,36936.40316458088,75878.86702758209,31460.300474310337
5.0,37062.01406110806,72442.94392975612,102906.92632545784
5.0,37144.57045052577,70416.09280276665,51651.674928511085
5.0,37735.74621031801,26017.522013078302,133476.5592608152
5.0,38424.052755052384,20479.299043202,62847.806499897626
5.0,38642.591675059535,30018.9000732581,90439.47322362383
5.0,39099.655035314834,72153.65846597789,84489.15136652382
5.0,39356.99418876765,28659.18600797417,47546.389187229055
5.0,39255.01235180264,62471.951296965635,173209.73961976252
