frame,x,y,label,DBSCAN,HDBSCAN
40,35431.63553178046,-34510.439508531614,0,0,13
40,35535.92467457906,-34601.00568948544,0,0,13
40,35804.55818612158,-34857.472627552146,0,0,13
40,35623.492792827565,-35102.77980063286,0,0,13
40,35887.481972295885,-34863.690422894375,0,0,13
40,36343.90371124614,-34440.62023031486,0,0,13
40,36047.07326209176,-34840.28396354447,0,0,13
40,35901.26301183368,-35006.93466207812,0,0,13
40,36023.41368687562,-34881.512599808244,0,0,13
40,35448.338312481224,-34554.085901653336,0,0,13
40,35932.99653345559,-34617.47491005364,0,0,13
40,35631.69892786577,-35005.666320795775,0,0,13
40,35838.41425622768,-34595.832703049375,0,0,13
40,35833.80523623668,-34759.98874530581,0,0,13
40,35492.61763679572,-35124.10430604056,0,0,13
41,36052.83666541566,-35312.962921646686,0,0,13
41,36244.01587351096,-34608.74581849328,0,0,13
41,35936.30426878608,-34962.81267454391,0,0,13
41,35738.639558064315,-34585.36224990136,0,0,13
41,35784.893797495344,-34946.49848272491,0,0,13
41,36035.4184826705,-35054.5665976865,0,0,13
41,35901.59874108684,-34805.0589444748,0,0,13
42,36009.88369866846,-35271.17747104367,0,0,13
42,36209.28810240247,-35589.41169665074,0,0,13
42,35850.119898092795,-35008.175107050694,0,0,13
42,35640.243403025306,-34448.43490261533,0,0,13
42,35961.233754829904,-34822.094174065074,0,0,13
42,35185.60213020898,-34240.67538238682,0,0,13
42,35782.95519032409,-34563.49159260351,0,0,13
42,35407.550834997804,-34751.8822359856,0,0,13
42,36022.88812779329,-34791.44959073543,0,0,13
42,35853.35624586069,-35160.614898422005,0,0,13
42,35658.90404814873,-34984.41040226905,0,0,13
42,35895.18064601743,-34780.52498166587,0,0,13
42,36030.99221292872,-35430.1244303486,0,0,13
42,35700.609340823066,-34781.4757885086,0,0,13
43,35697.58786223604,-34691.23657106452,0,0,13
43,35366.21061011705,-34126.35964169932,0,0,13
43,35832.992002186445,-34808.197744773584,0,0,13
43,35833.0359322574,-35208.1912296252,0,0,13
43,35282.460295616205,-35555.07036339225,0,0,13
43,35987.70235123958,-34795.39113662483,0,0,13
43,35756.24863154473,-34961.792023317124,0,0,13
43,35598.13775017663,-34266.283404831,0,0,13
43,35724.09218112678,-34426.68927859678,0,0,13
43,36132.42857807674,-34743.32355371118,0,0,13
43,36134.088932375824,-34164.35724155837,0,0,13
43,36060.56554073289,-34523.62342727348,0,0,13
43,35501.90183096105,-34871.21871024837,0,0,13
43,35754.96732491141,-35327.25818288014,0,0,13
43,35619.42085590177,-34536.11271759396,0,0,13
43,35521.99614886801,-34754.83946014709,0,0,13
43,35886.09614645471,-34818.451320843815,0,0,13
43,35376.29955654193,-34513.8562209876,0,0,13
43,35951.26968295527,-34837.462118244715,0,0,13
43,35775.71354662141,-34833.32449008492,0,0,13
43,35879.19316928965,-35143.28609901762,0,0,13
43,36011.95788862216,-35545.751921245486,0,0,13
43,35947.52739100539,-34998.773113936135,0,0,13
43,35121.11134051177,-34644.138186329896,0,0,13
43,35453.36386782157,-34968.26418612119,0,0,13
43,35758.03958880994,-34757.45004947679,0,0,13
43,35377.136367189465,-34983.32591047954,0,0,13
43,35598.13698163072,-35211.13813696757,0,0,13
44,35187.67962794134,-34726.12979214832,0,0,13
45,35371.97900812172,-35242.639435711404,0,0,13
45,35808.34763022725,-34966.13998954225,0,0,13
45,35463.024240066115,-34712.83952525856,0,0,13
45,35769.27361721276,-34760.30156480399,0,0,13
45,35879.50189953912,-35381.77487254481,0,0,13
45,35857.320705561666,-34172.55044213011,0,0,13
45,35738.07798543383,-34699.37443016466,0,0,13
