,x,y,frame,label,Rough_label,Final_label
111,24056.954034187023,12573.88802621046,357.0,0,28,54.0
112,23541.417318749634,10497.586773863552,357.0,0,28,54.0
113,23289.10332570859,15759.62280493476,357.0,0,28,-1.0
114,23548.279290269154,12188.5402185525,357.0,0,28,54.0
115,22608.8252943401,14288.42598245854,357.0,0,28,54.0
116,24917.85198274931,13590.326144949924,357.0,0,28,54.0
117,23979.69947927857,15067.242029039984,358.0,0,28,54.0
118,22975.240867847264,13357.702356535076,358.0,0,28,54.0
119,24002.91910097059,13319.314577350577,358.0,0,28,54.0
120,24674.951729462755,14564.29948793802,358.0,0,28,54.0
121,22700.037949741643,13312.889322761224,359.0,0,28,54.0
122,22372.579871489936,12596.329116696905,359.0,0,28,54.0
123,21165.568727103724,11281.019267606744,359.0,0,28,54.0
124,23601.611424464463,10971.671138312106,359.0,0,28,54.0
125,22021.407173379528,12111.284725638288,359.0,0,28,54.0
126,21230.367162890707,13142.28241608344,359.0,0,28,54.0
127,22523.91994699663,12349.657824294669,359.0,0,28,54.0
128,19491.514266297625,11387.0951843515,359.0,0,-1,-1.0
129,25125.96564227964,11393.271876053102,359.0,0,28,54.0
130,23552.44292275045,12823.406918283346,359.0,0,28,54.0
131,23280.88159694432,14726.433361210346,359.0,0,28,54.0
132,22091.49444589233,11899.169922101082,360.0,0,28,54.0
133,21969.026793224184,11274.37264712019,360.0,0,28,54.0
134,22331.70375591744,12066.139605904547,360.0,0,28,54.0
135,21596.94950002733,10964.769064523787,360.0,0,28,54.0
136,23876.26857674219,12407.53173262124,360.0,0,28,54.0
137,23648.37073732859,10659.013623559527,360.0,0,28,54.0
138,23187.796005547792,16402.00089630347,360.0,0,28,-1.0
139,23985.931994678514,13832.00787151234,361.0,0,28,54.0
140,24965.033022301275,13095.889170919623,361.0,0,28,54.0
141,24520.66929693584,15796.60609184565,361.0,0,28,-1.0
142,22726.882572801194,13677.25202486363,361.0,0,28,54.0
143,23902.95848774255,12641.5433532177,361.0,0,28,54.0
144,24418.897826686665,14126.215292271598,361.0,0,28,54.0
145,23690.857890247276,13184.480787946826,361.0,0,28,54.0
146,21837.978721321764,12713.369968456063,361.0,0,28,54.0
147,21296.772991958813,10916.75599701162,361.0,0,28,54.0
148,22492.64997776592,13097.252287706297,362.0,0,28,54.0
149,23535.28921005269,11009.619891298302,362.0,0,28,54.0
150,22891.865402414507,12630.772498852704,362.0,0,28,54.0
151,21786.08693388196,13610.638765744088,362.0,0,28,54.0
152,23361.0962790148,12445.56777302601,362.0,0,28,54.0
153,20166.32605759555,11267.586854090134,362.0,0,-1,-1.0
154,25274.006183960213,11336.80368939307,362.0,0,28,54.0
155,25520.14536911681,10779.184847320916,363.0,0,28,54.0
156,21824.761979667728,12122.5136008556,363.0,0,28,54.0
157,21324.1322814902,11615.136124489254,363.0,0,28,54.0
158,22662.360101514307,12042.818382108717,363.0,0,28,54.0
159,22014.875846357965,10637.035798452374,363.0,0,28,54.0
160,23848.212383539067,13144.285048977186,363.0,0,28,54.0
161,23771.453426134696,10503.691999286497,363.0,0,28,54.0
162,23741.90859072964,16525.988431820744,363.0,0,28,-1.0
163,23613.69641715425,13288.068338300676,363.0,0,28,54.0
164,24419.36943585137,13156.858969376624,363.0,0,28,54.0
165,24231.02265645829,16459.662393134025,363.0,0,-1,-1.0
166,25517.273826276098,13329.674992552133,364.0,0,28,-1.0
167,23521.287222495142,12517.138662074944,364.0,0,28,54.0
168,24146.99470717054,13406.857737879443,364.0,0,28,54.0
169,23743.58487601982,13589.55858000562,364.0,0,28,54.0
170,22524.006250593528,12181.784941475516,364.0,0,28,54.0
171,22736.4229825404,10950.604193249164,364.0,0,28,54.0
172,22647.620324831143,12939.559150002082,364.0,0,28,54.0
173,23300.385718453737,11124.38850062534,364.0,0,28,54.0
174,23051.84883919857,12598.574923042754,364.0,0,28,54.0
175,22741.97702742112,12131.271772472091,365.0,0,28,54.0
176,22959.785470925617,12850.81535410393,365.0,0,28,54.0
177,20851.756268761572,11655.164890517968,365.0,0,28,54.0
178,24829.12570738752,11621.477357157397,365.0,0,28,54.0
179,26316.73139075134,11262.293352003488,365.0,0,-1,-1.0
180,21808.21041609578,11703.413473748798,365.0,0,28,54.0
181,21144.114117579167,10910.36678180736,365.0,0,28,54.0
182,21928.986617049293,11812.40655610583,365.0,0,28,54.0
183,22294.7595980635,11221.532495305746,365.0,0,28,54.0
184,24238.651238192146,13793.3825382179,365.0,0,28,54.0
185,24231.776589441863,10443.177897029957,365.0,0,28,54.0
186,23669.90875150438,13107.427934765805,366.0,0,28,54.0
187,23125.682326039623,13219.214747124524,366.0,0,28,54.0
188,24687.740541781644,14784.80682134521,366.0,0,28,54.0
189,23607.618327790216,16934.30000497221,366.0,0,28,-1.0
190,26588.533876563037,13592.309438210334,366.0,0,-1,-1.0
191,23605.21703310236,12865.357411315052,366.0,0,28,54.0
192,24504.76768265168,13633.502916500378,366.0,0,28,54.0
