frame,x [nm],y [nm],intensity [photon],Rough_label,Final_label
5.0,24927.346428055327,68036.16796178471,166692.9866989149,19,-1.0
5.0,25860.15595019064,54116.02799555259,81021.85486232636,-1,-1.0
5.0,26523.49287441121,54602.880825090775,53263.977692206,-1,-1.0
5.0,28704.286889675423,48510.05137411362,155763.4316348019,14,24.0
5.0,31847.10895236154,5602.448750616885,52024.81315098198,-1,-1.0
5.0,32620.595796530703,1176.932400833987,81905.8400374547,-1,-1.0
5.0,32678.69561673492,32673.04319841471,192881.2595803693,-1,-1.0
5.0,33858.51243623869,42199.91160126175,89405.09535545562,14,-1.0
5.0,35087.87141680115,20878.57048997062,40537.477871805466,-1,-1.0
5.0,35669.56636787865,30726.487580813256,52950.34863967551,-1,-1.0
5.0,35809.119777283806,81107.88111076421,73476.14647151875,-1,-1.0
5.0,36359.922289720176,36824.22051994255,70311.42334065704,-1,-1.0
5.0,36907.545310466,47131.87546745983,138909.30738178518,14,-1.0
5.0,40001.78195993828,76765.19729652416,1445053.896660447,10,-1.0
5.0,40222.40957031853,57863.359533859526,229806.58204994295,12,-1.0
5.0,41895.78328030295,31084.519634500884,269773.7116818628,-1,-1.0
5.0,42648.78293325847,60233.12749846396,385758.76547556766,12,-1.0
5.0,44607.40388371297,79761.39976072547,84686.8202583658,-1,-1.0
5.0,45417.25330396194,54752.01892990304,46631.64199995064,12,-1.0
5.0,46272.327736697815,80630.13862391505,52857.02035084764,-1,-1.0
5.0,47312.56754799518,30387.298230226414,76879.04045411608,-1,-1.0
5.0,48104.80135619471,80713.90185789834,90033.69281695568,-1,-1.0
5.0,49653.88748742075,41818.0384743806,91417.49125194736,-1,-1.0
5.0,53585.95944014053,43124.173578040594,416490.637027976,-1,-1.0
5.0,58394.64432437625,65369.90771554386,52165.21476189675,-1,-1.0
5.0,60825.718182986886,41525.00765878825,62232.56655089842,-1,-1.0
5.0,60765.107416949264,57766.541574137496,74068.80920924316,15,-1.0
5.0,61776.83559135919,49070.27642644142,52109.39749203661,-1,-1.0
5.0,61736.590382206414,64464.06460679029,47832.4867719948,-1,-1.0
5.0,63010.70406849601,23427.557331968088,113880.03199603606,0,-1.0
5.0,66105.43979968564,37960.37875035209,107693.0982717896,-1,-1.0
5.0,67890.77189737697,1197.1394627650884,35301.884738510336,0,-1.0
5.0,69307.25652289014,48976.82882785588,54887.1280852518,-1,-1.0
5.0,72725.3309863162,70509.28696083366,66874.53545363779,11,-1.0
5.0,75893.05662341794,34044.99201483198,52997.60478141996,3,-1.0
5.0,77832.18868628399,52692.42603444806,51915.15651801192,-1,-1.0
5.0,78528.00609428935,59063.71251408085,74351.92037187985,-1,-1.0
5.0,80672.92558235611,50304.55033537328,141535.96572879326,3,-1.0
6.0,3467.4885944950474,64980.60535363901,156566.9642244239,19,-1.0
6.0,9222.274721681726,37337.15276931657,89602.20089519458,13,-1.0
6.0,9649.818856617436,80139.6456002643,99454.76527241348,19,-1.0
6.0,11329.827309114396,66960.77468008085,285742.188777452,19,29.0
6.0,13217.556145698774,24162.13227201884,105603.5620123856,-1,-1.0
6.0,15800.413702117818,12006.7989661107,174091.3732534361,-1,-1.0
6.0,16018.388786555272,2221.647621109095,135151.69514624157,5,-1.0
6.0,17233.06432547245,64095.1128575692,261044.68172108493,19,-1.0
6.0,17399.648240131228,8565.249176137533,186760.3549567425,6,-1.0
6.0,17939.319442718413,15090.141271206958,60365.756844825286,2,-1.0
6.0,18553.75065270997,48033.06860394487,43003.74863142864,-1,-1.0
6.0,18729.59551524624,27704.105823127957,42256.73717994799,-1,-1.0
6.0,19568.952672792784,73679.0187766684,162914.22867325455,19,-1.0
6.0,22751.745879094327,1399.441930104599,131538.63853366606,-1,-1.0
6.0,26796.849359981265,25652.644513171454,55165.21218279367,8,-1.0
6.0,26774.349743236548,66712.04091138279,51783.9341655658,-1,-1.0
6.0,28105.54432237222,33213.721603437305,68805.53977281933,-1,-1.0
6.0,28330.94606171021,47863.1648653378,56496.76015390272,14,24.0
6.0,28937.425322609397,62463.27271488041,228242.76930868032,-1,-1.0
6.0,30260.856371908198,26736.14640222682,112675.66334027788,8,-1.0
6.0,30550.64467015668,61481.24357034959,59332.63769634021,-1,-1.0
6.0,30649.133643711048,16789.217422386162,50176.59338796959,-1,-1.0
6.0,32648.968239233334,32635.191614215728,212373.17156393235,-1,-1.0
6.0,35694.58144839745,76255.15429271774,68199.11092236894,10,-1.0
6.0,36928.25687600484,39036.453754333896,75202.33278945813,-1,-1.0
6.0,38543.90715528485,46886.21343902791,68687.14618580029,-1,-1.0
6.0,40804.36874339696,37102.379796272566,132689.56570526457,-1,-1.0
6.0,41113.45931025552,25922.25608053472,38895.06804355643,-1,-1.0
6.0,41344.86573142376,80060.4668640434,76279.60139275159,10,-1.0
6.0,41846.49894114149,31101.083998331727,251869.7806022999,-1,-1.0
6.0,42620.73655400961,60250.60843109575,570926.1972120194,12,-1.0
6.0,44485.67333606889,63417.74191501821,89218.40996017736,12,-1.0
6.0,48860.14242469124,73396.49517256927,182034.69262843076,10,-1.0
6.0,49174.33311520416,5889.635584218796,94997.700204992,-1,-1.0
6.0,50598.209978362174,39497.37149149218,119183.80745520552,-1,-1.0
6.0,54175.18213409507,59994.92226772647,54776.79449676714,-1,-1.0
6.0,55342.64875151723,42577.99111707458,57703.46500664933,-1,-1.0
6.0,62951.38692572366,19674.13641827892,100473.95580908676,0,-1.0
6.0,62924.04227978244,39436.64056984004,37010.30510340507,-1,-1.0
6.0,63724.874558067335,59690.93004072363,444194.4844179041,15,-1.0
6.0,64744.26849919245,49262.1350317983,99903.17731848684,-1,-1.0
6.0,65907.5342410235,78074.3615539185,43206.10212855951,-1,-1.0
6.0,66173.03382035124,50061.66903693959,61413.44300383024,-1,-1.0
6.0,66884.96180247914,41829.01397213377,75149.55108777898,-1,-1.0
6.0,67526.28384587354,24439.256233339343,171453.13883501326,0,-1.0
6.0,70041.73656896972,35476.2032368752,86205.23667794108,-1,-1.0
6.0,70276.9042009576,23521.35438056419,130424.5153397184,0,-1.0
6.0,77015.3375334988,35214.26730339063,48402.20916715307,3,-1.0
